Date,Time gap,Count,Average speed
2021-12-18,55,40,17
2021-12-18,56,58,17
2021-12-18,57,46,18
2021-12-18,58,26,18
2021-12-18,59,38,18
2021-12-18,60,48,20
2021-12-18,61,54,18
2021-12-18,62,39,19
2021-12-18,63,44,17
2021-12-18,64,56,17
2021-12-18,65,41,17
2021-12-18,66,59,17
2021-12-18,67,52,18
2021-12-18,68,37,17
2021-12-18,69,37,17
2021-12-18,70,22,17
2021-12-18,71,30,17
2021-12-18,72,31,18
2021-12-18,73,40,17
2021-12-18,74,39,18
2021-12-18,75,41,18
2021-12-18,76,31,18
2021-12-18,77,31,18
2021-12-18,78,22,18
2021-12-18,79,22,18
2021-12-18,80,22,19
2021-12-18,81,30,18
2021-12-18,82,23,19
2021-12-18,83,19,19
2021-12-18,84,24,17
2021-12-18,85,27,18
2021-12-18,86,26,20
2021-12-18,87,11,19
2021-12-18,88,11,18
2021-12-18,89,15,17
2021-12-18,90,16,17
2021-12-18,91,11,17
2021-12-18,92,8,18
2021-12-18,93,18,16
2021-12-18,94,12,16
2021-12-18,95,11,19
2021-12-18,96,7,19
2021-12-19,1,9,16
2021-12-19,2,6,17
2021-12-19,3,7,16
2021-12-19,4,9,17
2021-12-19,5,10,18
2021-12-19,6,5,16
2021-12-19,7,2,22
2021-12-19,8,1,22
2021-12-19,9,4,21
2021-12-19,10,3,16
2021-12-19,11,2,21
2021-12-19,12,3,14
2021-12-19,13,2,19
2021-12-19,14,5,17
2021-12-19,15,8,16
2021-12-19,16,9,18
2021-12-19,17,3,24
2021-12-19,18,2,13
2021-12-19,19,5,18
2021-12-19,20,1,14
2021-12-19,21,5,22
2021-12-19,22,5,17
2021-12-19,23,7,18
2021-12-19,24,3,20
2021-12-19,25,6,20
2021-12-19,26,4,18
2021-12-19,27,1,14
2021-12-19,28,5,12
2021-12-19,29,9,20
2021-12-19,30,10,20
2021-12-19,31,13,22
2021-12-19,32,13,16
2021-12-19,33,14,18
2021-12-19,34,14,18
2021-12-19,35,17,18
2021-12-19,36,22,22
2021-12-19,37,22,17
2021-12-19,38,19,17
2021-12-19,39,24,19
2021-12-19,40,22,20
2021-12-19,41,25,17
2021-12-19,42,31,19
2021-12-19,43,25,17
2021-12-19,44,34,19
2021-12-19,45,40,19
2021-12-19,46,32,18
2021-12-19,47,27,17
2021-12-19,48,33,18
2021-12-19,49,24,19
2021-12-19,50,38,18
2021-12-19,51,45,18
2021-12-19,52,29,18
2021-12-19,53,32,16
2021-12-19,54,39,17
2021-12-19,55,43,17
2021-12-19,56,31,18
2021-12-19,57,52,16
2021-12-19,58,30,16
2021-12-19,59,48,17
2021-12-19,60,44,18
2021-12-19,61,35,17
2021-12-19,62,30,18
2021-12-19,63,32,17
2021-12-19,64,27,17
2021-12-19,65,35,16
2021-12-19,66,32,17
2021-12-19,67,34,17
2021-12-19,68,34,19
2021-12-19,69,36,18
2021-12-19,70,40,18
2021-12-19,71,35,18
2021-12-19,72,35,17
2021-12-19,73,41,18
2021-12-19,74,31,18
2021-12-19,75,19,19
2021-12-19,76,22,20
2021-12-19,77,19,18
2021-12-19,78,20,19
2021-12-19,79,21,18
2021-12-19,80,21,19
2021-12-19,81,13,19
2021-12-19,82,15,17
2021-12-19,83,13,18
2021-12-19,84,12,18
2021-12-19,85,19,19
2021-12-19,86,14,18
2021-12-19,87,16,19
2021-12-19,88,11,18
2021-12-19,89,13,19
2021-12-19,90,11,20
2021-12-19,91,12,19
2021-12-19,92,28,13
2021-12-19,93,7,16
2021-12-19,94,6,15
2021-12-19,95,5,16
2021-12-19,96,1,18
2021-12-20,1,4,18
2021-12-20,2,0,-1
2021-12-20,3,2,31
2021-12-20,4,2,19
2021-12-20,5,3,16
2021-12-20,6,0,-1
2021-12-20,7,2,16
2021-12-20,8,4,20
2021-12-20,9,1,18
2021-12-20,10,1,15
2021-12-20,11,2,16
2021-12-20,12,1,12
2021-12-20,13,2,22
2021-12-20,14,3,21
2021-12-20,15,5,21
2021-12-20,16,7,22
2021-12-20,17,7,19
2021-12-20,18,2,19
2021-12-20,19,11,20
2021-12-20,20,10,21
2021-12-20,21,14,20
2021-12-20,22,10,22
2021-12-20,23,7,21
2021-12-20,24,11,17
2021-12-20,25,21,22
2021-12-20,26,20,20
2021-12-20,27,29,20
2021-12-20,28,49,21
2021-12-20,29,40,20
2021-12-20,30,62,20
2021-12-20,31,77,20
2021-12-20,32,83,20
2021-12-20,33,63,17
2021-12-20,34,49,19
2021-12-20,35,65,18
2021-12-20,36,53,19
2021-12-20,37,31,18
2021-12-20,38,30,19
2021-12-20,39,25,17
2021-12-20,40,28,19
2021-12-20,41,23,20
2021-12-20,42,27,16
2021-12-20,43,31,17
2021-12-20,44,28,16
2021-12-20,45,34,19
2021-12-20,46,42,19
2021-12-20,47,50,18
2021-12-20,48,39,17
2021-12-20,49,51,20
2021-12-20,50,47,17
2021-12-20,51,33,18
2021-12-20,52,42,18
2021-12-20,53,38,19
2021-12-20,54,42,18
2021-12-20,55,40,19
2021-12-20,56,45,18
2021-12-20,57,42,17
2021-12-20,58,49,18
2021-12-20,59,43,20
2021-12-20,60,54,19
2021-12-20,61,78,19
2021-12-20,62,58,19
2021-12-20,63,62,19
2021-12-20,64,85,19
2021-12-20,65,71,19
2021-12-20,66,70,18
2021-12-20,67,70,18
2021-12-20,68,78,18
2021-12-20,69,73,19
2021-12-20,70,68,19
2021-12-20,71,63,19
2021-12-20,72,51,20
2021-12-20,73,45,19
2021-12-20,74,37,20
2021-12-20,75,35,17
2021-12-20,76,31,18
2021-12-20,77,27,19
2021-12-20,78,27,19
2021-12-20,79,32,20
2021-12-20,80,22,19
2021-12-20,81,27,20
2021-12-20,82,29,19
2021-12-20,83,21,20
2021-12-20,84,11,17
2021-12-20,85,24,18
2021-12-20,86,14,19
2021-12-20,87,15,17
2021-12-20,88,18,17
2021-12-20,89,23,19
2021-12-20,90,16,20
2021-12-20,91,10,18
2021-12-20,92,9,18
2021-12-20,93,2,22
2021-12-20,94,10,19
2021-12-20,95,6,21
2021-12-20,96,5,16
2021-12-21,1,3,22
2021-12-21,2,1,21
2021-12-21,3,4,18
2021-12-21,4,0,-1
2021-12-21,5,2,19
2021-12-21,6,1,20
2021-12-21,7,2,18
2021-12-21,8,0,-1
2021-12-21,9,1,17
2021-12-21,10,2,22
2021-12-21,11,2,20
2021-12-21,12,2,19
2021-12-21,13,4,21
2021-12-21,14,2,17
2021-12-21,15,8,21
2021-12-21,16,5,17
2021-12-21,17,5,21
2021-12-21,18,2,16
2021-12-21,19,9,19
2021-12-21,20,10,21
2021-12-21,21,9,18
2021-12-21,22,8,23
2021-12-21,23,6,22
2021-12-21,24,14,19
2021-12-21,25,14,21
2021-12-21,26,20,21
2021-12-21,27,31,21
2021-12-21,28,31,21
2021-12-21,29,46,20
2021-12-21,30,57,19
2021-12-21,31,64,19
2021-12-21,32,95,20
2021-12-21,33,65,19
2021-12-21,34,52,19
2021-12-21,35,43,19
2021-12-21,36,43,18
2021-12-21,37,37,19
2021-12-21,38,30,19
2021-12-21,39,27,18
2021-12-21,40,31,18
2021-12-21,41,38,18
2021-12-21,42,36,18
2021-12-21,43,39,18
2021-12-21,44,34,18
2021-12-21,45,29,20
2021-12-21,46,43,18
2021-12-21,47,38,19
2021-12-21,48,59,18
2021-12-21,49,43,19
2021-12-21,50,39,17
2021-12-21,51,45,17
2021-12-21,52,61,18
2021-12-21,53,45,18
2021-12-21,54,43,18
2021-12-21,55,41,19
2021-12-21,56,35,17
2021-12-21,57,37,18
2021-12-21,58,43,17
2021-12-21,59,53,19
2021-12-21,60,46,18
2021-12-21,61,65,19
2021-12-21,62,56,19
2021-12-21,63,61,18
2021-12-21,64,66,19
2021-12-21,65,72,18
2021-12-21,66,87,18
2021-12-21,67,83,18
2021-12-21,68,87,19
2021-12-21,69,73,18
2021-12-21,70,71,18
2021-12-21,71,62,19
2021-12-21,72,65,19
2021-12-21,73,59,18
2021-12-21,74,52,18
2021-12-21,75,44,19
2021-12-21,76,36,18
2021-12-21,77,29,19
2021-12-21,78,24,18
2021-12-21,79,21,19
2021-12-21,80,29,20
2021-12-21,81,27,19
2021-12-21,82,20,20
2021-12-21,83,18,17
2021-12-21,84,16,18
2021-12-21,85,12,19
2021-12-21,86,18,16
2021-12-21,87,9,19
2021-12-21,88,28,19
2021-12-21,89,22,18
2021-12-21,90,12,16
2021-12-21,91,16,17
2021-12-21,92,13,19
2021-12-21,93,8,20
2021-12-21,94,9,18
2021-12-21,95,7,16
2021-12-21,96,3,18
2021-12-22,1,4,22
2021-12-22,2,3,18
2021-12-22,3,2,12
2021-12-22,4,2,16
2021-12-22,5,2,16
2021-12-22,6,1,14
2021-12-22,7,2,19
2021-12-22,8,0,-1
2021-12-22,9,4,18
2021-12-22,10,2,18
2021-12-22,11,2,17
2021-12-22,12,0,-1
2021-12-22,13,4,21
2021-12-22,14,2,16
2021-12-22,15,5,21
2021-12-22,16,7,20
2021-12-22,17,7,19
2021-12-22,18,3,21
2021-12-22,19,3,18
2021-12-22,20,9,23
2021-12-22,21,7,19
2021-12-22,22,6,19
2021-12-22,23,5,20
2021-12-22,24,11,19
2021-12-22,25,9,22
2021-12-22,26,20,19
2021-12-22,27,17,21
2021-12-22,28,26,20
2021-12-22,29,34,20
2021-12-22,30,48,20
2021-12-22,31,42,18
2021-12-22,32,49,19
2021-12-22,33,44,18
2021-12-22,34,55,18
2021-12-22,35,38,18
2021-12-22,36,24,17
2021-12-22,37,34,19
2021-12-22,38,25,18
2021-12-22,39,31,17
2021-12-22,40,24,17
2021-12-22,41,33,17
2021-12-22,42,12,17
2021-12-22,43,32,16
2021-12-22,44,35,17
2021-12-22,45,46,18
2021-12-22,46,40,17
2021-12-22,47,55,16
2021-12-22,48,53,16
2021-12-22,49,53,17
2021-12-22,50,56,17
2021-12-22,51,46,15
2021-12-22,52,62,16
2021-12-22,53,44,17
2021-12-22,54,55,16
2021-12-22,55,52,16
2021-12-22,56,50,16
2021-12-22,57,34,16
2021-12-22,58,68,15
2021-12-22,59,35,17
2021-12-22,60,43,17
2021-12-22,61,41,17
2021-12-22,62,72,14
2021-12-22,63,48,17
2021-12-22,64,54,16
2021-12-22,65,60,16
2021-12-22,66,64,18
2021-12-22,67,84,18
2021-12-22,68,72,18
2021-12-22,69,49,19
2021-12-22,70,50,17
2021-12-22,71,39,17
2021-12-22,72,53,18
2021-12-22,73,47,19
2021-12-22,74,32,19
2021-12-22,75,28,17
2021-12-22,76,37,18
2021-12-22,77,29,20
2021-12-22,78,33,19
2021-12-22,79,27,17
2021-12-22,80,21,18
2021-12-22,81,19,18
2021-12-22,82,21,18
2021-12-22,83,28,19
2021-12-22,84,11,17
2021-12-22,85,9,20
2021-12-22,86,17,19
2021-12-22,87,14,20
2021-12-22,88,13,19
2021-12-22,89,24,20
2021-12-22,90,28,18
2021-12-22,91,11,18
2021-12-22,92,9,18
2021-12-22,93,11,17
2021-12-22,94,4,18
2021-12-22,95,8,17
2021-12-22,96,4,18
2021-12-23,1,4,16
2021-12-23,2,2,21
2021-12-23,3,5,23
2021-12-23,4,7,15
2021-12-23,5,4,20
2021-12-23,6,0,-1
2021-12-23,7,2,19
2021-12-23,8,2,19
2021-12-23,9,2,19
2021-12-23,10,0,-1
2021-12-23,11,3,17
2021-12-23,12,1,21
2021-12-23,13,1,19
2021-12-23,14,1,10
2021-12-23,15,3,21
2021-12-23,16,6,17
2021-12-23,17,1,23
2021-12-23,18,6,21
2021-12-23,19,4,21
2021-12-23,20,7,21
2021-12-23,21,5,20
2021-12-23,22,9,22
2021-12-23,23,9,18
2021-12-23,24,8,20
2021-12-23,25,14,19
2021-12-23,26,14,22
2021-12-23,27,21,20
2021-12-23,28,25,20
2021-12-23,29,30,18
2021-12-23,30,43,19
2021-12-23,31,46,20
2021-12-23,32,71,20
2021-12-23,33,48,19
2021-12-23,34,41,19
2021-12-23,35,44,18
2021-12-23,36,39,19
2021-12-23,37,33,18
2021-12-23,38,36,18
2021-12-23,39,28,19
2021-12-23,40,36,18
2021-12-23,41,32,18
2021-12-23,42,41,18
2021-12-23,43,39,18
2021-12-23,44,34,19
2021-12-23,45,47,18
2021-12-23,46,56,18
2021-12-23,47,52,18
2021-12-23,48,33,19
2021-12-23,49,34,18
2021-12-23,50,48,19
2021-12-23,51,41,17
2021-12-23,52,42,19
2021-12-23,53,40,17
2021-12-23,54,41,18
2021-12-23,55,41,19
2021-12-23,56,55,18
2021-12-23,57,44,18
2021-12-23,58,54,18
2021-12-23,59,36,17
2021-12-23,60,46,18
2021-12-23,61,50,19
2021-12-23,62,55,19
2021-12-23,63,56,19
2021-12-23,64,56,18
2021-12-23,65,47,19
2021-12-23,66,72,18
2021-12-23,67,76,18
2021-12-23,68,75,18
2021-12-23,69,52,18
2021-12-23,70,46,19
2021-12-23,71,59,18
2021-12-23,72,46,19
2021-12-23,73,50,18
2021-12-23,74,28,16
2021-12-23,75,31,17
2021-12-23,76,30,18
2021-12-23,77,32,18
2021-12-23,78,27,19
2021-12-23,79,22,16
2021-12-23,80,23,18
2021-12-23,81,22,19
2021-12-23,82,19,21
2021-12-23,83,22,19
2021-12-23,84,16,18
2021-12-23,85,15,19
2021-12-23,86,13,18
2021-12-23,87,14,17
2021-12-23,88,21,17
2021-12-23,89,29,17
2021-12-23,90,9,18
2021-12-23,91,5,20
2021-12-23,92,13,17
2021-12-23,93,15,16
2021-12-23,94,9,18
2021-12-23,95,6,24
2021-12-23,96,6,16
2021-12-24,1,3,19
2021-12-24,2,5,19
2021-12-24,3,3,16
2021-12-24,4,6,18
2021-12-24,5,3,21
2021-12-24,6,5,20
2021-12-24,7,0,-1
2021-12-24,8,1,23
2021-12-24,9,1,16
2021-12-24,10,2,18
2021-12-24,11,4,18
2021-12-24,12,1,20
